Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,date_time,date,classification,profit,trade_size
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93334.0,1.60713,149999.87,BUY,24-04-2025 01:11,67.90396,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,34.49997,991000000000000.0,1750000000000.0,,,,0.0,149999.87
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93335.0,0.20112,18771.54,BUY,24-04-2025 01:11,69.51109,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,4.317453,486000000000000.0,1750000000000.0,,,,0.0,18771.54
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93335.0,3.20784,299403.75,BUY,24-04-2025 01:11,69.71221,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,68.862861,161000000000000.0,1750000000000.0,,,,0.0,299403.75
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93335.0,0.00015,14.0,BUY,24-04-2025 01:11,72.92005,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,0.00322,888000000000000.0,1750000000000.0,,,,0.0,14.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93335.0,0.21428,19999.82,BUY,24-04-2025 01:11,72.9202,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,4.599959,384000000000000.0,1750000000000.0,,,,0.0,19999.82
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93335.0,0.04585,4279.41,BUY,24-04-2025 01:11,73.13448,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,0.984264,883000000000000.0,1750000000000.0,,,,0.0,4279.41
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93336.0,0.00536,500.28,BUY,24-04-2025 01:11,73.18033,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,0.115064,1030000000000000.0,1750000000000.0,,,,0.0,500.28
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93336.0,0.10713,9999.09,BUY,24-04-2025 01:11,73.18569,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,2.299789,757000000000000.0,1750000000000.0,,,,0.0,9999.09
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93336.0,0.00015,14.0,BUY,24-04-2025 01:11,73.29282,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,0.00322,1010000000000000.0,1750000000000.0,,,,0.0,14.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,93336.0,0.41664,38887.51,BUY,24-04-2025 01:11,73.29297,Open Long,0.0,0xe6bc2d6fcb8316230e4004221d72670201ea00a3589436563e2a38754cfe5f34,88406907259.0,True,8.944127,19900000000000.0,1750000000000.0,,,,0.0,38887.51
