Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,87897.0,0.67536,59362.12,SELL,05-03-2025 01:10,-1.62936,Open Short,0.0,0xd72c3f0b9d1684b4f442041ee8d5c602041400c74ff1900455f857d83d7c97af,77169288295,True,17.808635,1040000000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,88097.0,0.00017,14.98,SELL,05-03-2025 01:38,-2.30472,Open Short,0.0,0xc4c188c3c90da3180bc4041ee924f10201e7008347108d3f32f052400edaa029,77175087472,True,0.004492,761000000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,88097.0,0.45409,40003.97,SELL,05-03-2025 01:38,-2.30489,Open Short,0.0,0xc4c188c3c90da3180bc4041ee924f10201e7008347108d3f32f052400edaa029,77175087472,True,12.00119,926000000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,88094.0,0.68109,59999.94,SELL,05-03-2025 01:38,-2.75898,Open Short,0.0,0xc4c188c3c90da3180bc4041ee924f10201e7008347108d3f32f052400edaa029,77175087472,True,17.999982,411000000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,88634.0,0.4,35453.6,SELL,05-03-2025 15:35,-3.44007,Open Short,0.0,0x2a0260b1704789b8f8de041ef2944c015d000835362a9a901ca03c816c4ad455,77333619937,True,10.636079,826000000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,88634.0,0.54155,47999.74,SELL,05-03-2025 15:35,-3.84007,Open Short,0.0,0x2a0260b1704789b8f8de041ef2944c015d000835362a9a901ca03c816c4ad455,77333619937,True,14.399922,73900000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,88634.0,0.04516,4002.71,SELL,05-03-2025 15:35,-4.38162,Open Short,0.0,0x2a0260b1704789b8f8de041ef2944c015d000835362a9a901ca03c816c4ad455,77333619937,True,1.200813,744000000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,88634.0,0.36716,32542.86,SELL,05-03-2025 15:35,-4.42678,Open Short,0.0,0x2a0260b1704789b8f8de041ef2944c015d000835362a9a901ca03c816c4ad455,77333619937,True,9.762857,38200000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,89294.0,1.35387,120892.47,SELL,05-03-2025 15:58,-4.79394,Open Short,0.0,0x053030774d0d3ddb3c8c041ef2d6f30202ab00d81a8d49759e32cc9ef5c8967f,77337536394,True,36.26774,634000000000000.0,1740000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,89554.0,0.53599,48000.05,SELL,05-03-2025 15:59,-6.14781,Open Short,0.0,0xa8f08febdb0aa9433426041ef2da9902028c0095fd39bf8e3d14cec5802f105b,77337868195,True,14.400014,218000000000000.0,1740000000000.0
